,grp_uuid,user_id,request_time,grp_status,encrypt_data,grp_delete,st_files,st_dirs,st_successful,st_failed,st_expired,st_canceled,st_bytes_xfered,st_faults,st_skipped_errors,src_host_ep_id,dst_host_ep_id,complete_time
0,cfa4b772-89f6-11df-a740-123139143882,1,2010-07-07 18:38:18.356061,2,False,False,10,0,10,0,0,0,1048576000,0,0,3,2,2010-07-07 18:39:01.877251
1,ee145032-89f6-11df-b8d4-123139143882,1,2010-07-07 18:39:09.395804,2,False,False,100,0,100,0,0,0,10485760000,0,0,3,2,2010-07-07 18:52:02.141284
2,729c901e-89fa-11df-b391-123139143882,1,2010-07-07 19:04:20.249963,2,False,False,10000,0,10000,0,0,0,1048576000000,160,0,3,2,2010-07-07 20:29:01.849598
3,ed741d70-8aa4-11df-94cf-123139143882,1,2010-07-08 15:24:40.780741,2,False,False,10,0,10,0,0,0,1048576000,0,0,3,2,2010-07-08 15:26:01.821227
4,a077cd2a-8ab1-11df-bd28-123139143882,1,2010-07-08 16:55:35.077651,2,False,False,10,0,10,0,0,0,1048576000,0,0,3,2,2010-07-08 16:56:01.686220
5,076178b0-8acb-11df-b04e-123139143882,1,2010-07-08 19:57:25.152007,2,False,False,5000,0,5000,0,0,0,524288000000,2048,0,3,2,2010-07-08 21:10:01.758771
6,12da9d2a-8acb-11df-87c1-123139143882,4,2010-07-08 19:57:44.415395,2,False,False,5000,0,5000,0,0,0,524288000000,1920,0,9,8,2010-07-08 21:10:11.691745
7,68a8e002-8adc-11df-af99-123139143882,5,2010-07-08 22:01:49.805836,2,False,False,10000,0,10000,0,0,0,1048576000000,0,0,12,11,2010-07-08 23:32:01.850541
8,9edacdc4-9050-11df-a74f-123139143882,1,2010-07-15 20:36:18.182334,2,False,False,100,0,100,0,0,0,214748889088,1751,0,3,1,2010-07-15 21:10:01.610819
9,3af35172-905b-11df-9cbe-123139143882,1,2010-07-15 21:52:15.047738,3,False,False,100,0,27,0,0,73,57982058496,2289,0,3,1,2010-07-15 22:07:01.920241
10,c177c000-9071-11df-a8a4-123139143882,1,2010-07-16 00:33:29.626222,2,False,False,100,0,100,0,0,0,214748364800,1277,0,13,1,2010-07-16 01:18:02.115430
11,64069518-9076-11df-8a34-123139143882,1,2010-07-16 01:06:40.350505,3,False,False,100,0,5,0,0,95,10737418240,95,0,13,2,2010-07-16 01:37:01.909878
12,83f2efbc-907f-11df-aa00-123139143882,1,2010-07-16 02:11:59.383270,2,False,False,100,0,100,0,0,0,214748364800,298,0,13,1,2010-07-16 02:57:02.243351
13,b889624a-9086-11df-94a1-123139143882,1,2010-07-16 03:03:34.099069,3,False,False,100,0,20,0,0,80,42950197248,2698,0,13,1,2010-07-16 03:22:02.384152
14,76aa7fda-908b-11df-85c1-123139143882,1,2010-07-16 03:37:31.056567,2,False,False,100,0,100,0,0,0,214748364800,796,0,14,1,2010-07-16 04:37:02.061149
15,b528297e-90d1-11df-ab0d-123139143882,1,2010-07-16 12:00:20.675805,3,False,False,100,0,11,0,0,89,23618125824,89,0,14,2,2010-07-16 13:21:01.544836
16,10630388-90df-11df-b07a-123139143882,1,2010-07-16 13:35:57.185573,3,False,False,100,0,12,0,0,88,25751977984,88,0,15,2,2010-07-16 15:02:01.976498
17,3dc4f95e-90ed-11df-8eec-123139143882,1,2010-07-16 15:17:29.696036,2,False,False,1,0,1,0,0,0,5368709120,0,0,15,2,2010-07-16 15:19:02.065401
18,2190550c-90ee-11df-9a05-123139143882,1,2010-07-16 15:23:53.646560,3,False,False,1,0,0,0,1,0,545259520,0,0,15,2,2010-07-16 15:51:01.487024
19,37d608da-9106-11df-8305-123139143882,1,2010-07-16 18:16:13.732567,3,False,False,10000,0,3584,0,0,6416,374167568384,0,0,15,2,2010-07-16 19:51:01.444431
20,af190bec-9113-11df-ae8c-123139143882,1,2010-07-16 19:52:37.288519,2,False,False,10000,0,10000,0,0,0,1046155886592,588,0,15,2,2010-07-16 22:47:01.982234
21,234e2124-92ee-11df-9822-123139143882,1,2010-07-19 04:28:54.626300,2,False,False,3,0,3,0,0,0,314572800,0,0,15,16,2010-07-19 04:31:01.763395
22,07567f96-94da-11df-8768-123139076201,8,2010-07-21 15:09:59.181725,3,False,False,10,0,0,0,0,10,0,290,0,20,19,2010-07-21 15:15:02.374116
23,d26265dc-94db-11df-b748-123139076201,8,2010-07-21 15:22:49.314590,2,False,False,10,0,10,0,0,0,21474836480,139,0,20,21,2010-07-21 15:31:02.242586
24,8df71a3e-94e3-11df-beaf-123139076201,7,2010-07-21 16:18:16.125161,3,False,False,40,0,0,0,0,40,0,30120,0,22,23,2010-07-21 18:28:02.036819
25,ba7699de-94f9-11df-8d13-123139076201,7,2010-07-21 18:56:56.102062,2,False,False,25,0,25,0,0,0,1975207125,1549,0,22,23,2010-07-21 19:09:02.182336
26,939cfd1e-94fc-11df-9dbe-123139076201,10,2010-07-21 19:18:31.680733,3,False,False,1,0,0,0,0,1,0,8,0,24,25,2010-07-21 19:20:01.565044
27,e576f57c-94fc-11df-97c7-123139076201,10,2010-07-21 19:20:19.401182,3,False,False,1,0,0,0,0,1,0,18,0,24,25,2010-07-21 19:23:02.029935
28,629cbfea-94fe-11df-80d6-123139076201,10,2010-07-21 19:30:28.156066,2,False,False,1,0,1,0,0,0,213264,0,0,24,25,2010-07-21 19:31:02.037929
29,3edadcce-9506-11df-88f8-123139076201,1,2010-07-21 20:26:32.246915,3,False,False,1,0,0,0,0,1,0,32,0,6,4,2010-07-21 20:30:01.612354
30,90a67184-9507-11df-b7ee-123139076201,9,2010-07-21 20:35:56.885482,2,False,False,12,0,12,0,0,0,5416605,0,0,26,27,2010-07-21 20:37:01.794020
31,f900254a-9507-11df-ba72-123139076201,9,2010-07-21 20:38:51.971537,2,False,False,12,0,12,0,0,0,5416605,0,0,26,27,2010-07-21 20:40:02.290878
32,bf52f174-9511-11df-9b5d-123139076201,1,2010-07-21 21:48:59.731069,3,False,False,1,0,0,0,1,0,0,57,0,6,4,2010-07-21 21:55:02.376827
33,0a5e0828-9564-11df-8d95-123139076201,1,2010-07-22 07:38:03.236520,3,False,False,1,0,0,0,0,1,0,14,0,6,4,2010-07-22 07:40:02.387919
34,f83f8be0-95e4-11df-bc58-123139076201,14,2010-07-22 23:00:49.472272,2,False,False,5,0,5,0,0,0,1600020480,0,0,28,29,2010-07-22 23:02:02.290586
35,145845be-95e6-11df-9f0c-123139076201,14,2010-07-22 23:08:46.116300,2,False,False,5,0,5,0,0,0,1600020480,0,0,28,30,2010-07-22 23:10:02.445481
36,d6690d76-95e8-11df-a990-123139076201,14,2010-07-22 23:28:30.698999,3,False,False,5,0,0,0,0,5,0,100,0,28,29,2010-07-22 23:37:02.309899
37,3772bdea-95f0-11df-9de6-123139076201,14,2010-07-23 00:21:19.969499,2,False,False,5,0,5,0,0,0,1600020480,0,0,28,29,2010-07-23 00:23:01.710406
38,0de9b662-95f1-11df-aa14-123139076201,14,2010-07-23 00:27:19.797666,3,False,False,1,0,0,0,1,0,0,3,0,28,30,2010-07-23 00:29:01.779911
39,9f42c0a4-95f1-11df-af4d-123139076201,14,2010-07-23 00:31:23.637459,2,False,False,5,0,5,0,0,0,1600020480,0,0,28,29,2010-07-23 00:33:01.717123
40,741984ae-95f0-11df-ba96-123139076201,14,2010-07-23 00:23:01.735708,3,False,False,5,0,0,0,5,0,0,100,0,28,30,2010-07-23 00:34:02.252494
41,d1aeb142-95f1-11df-8923-123139076201,14,2010-07-23 00:32:48.227679,3,False,False,5,0,0,0,0,5,0,40,0,28,30,2010-07-23 00:38:02.247024
42,97b3e8ec-95f4-11df-88cf-123139076201,14,2010-07-23 00:52:39.444866,2,False,False,5,0,5,0,0,0,1600020480,0,0,28,29,2010-07-23 00:54:02.272570
43,c3e8fdb2-95f4-11df-8cb9-123139076201,14,2010-07-23 00:53:53.610901,2,False,False,5,0,5,0,0,0,1600020480,0,0,28,30,2010-07-23 00:55:01.827689
44,ed92b908-95f6-11df-8aaf-123139076201,14,2010-07-23 01:09:22.503641,2,False,False,5,0,5,0,0,0,1600020480,0,0,28,29,2010-07-23 01:11:01.518792
45,b02c925e-95f7-11df-901e-123139076201,14,2010-07-23 01:14:49.006169,3,False,False,1,0,0,0,1,0,0,59,0,28,29,2010-07-23 01:25:02.322362
46,dab698d0-95f7-11df-9228-123139076201,14,2010-07-23 01:16:00.369043,2,False,False,5,0,5,0,0,0,1600020480,260,0,28,29,2010-07-23 01:26:01.827691
47,0fd5ff9c-962f-11df-a678-123139076201,1,2010-07-23 07:51:20.342689,2,False,False,1,0,1,0,0,0,209715200,0,0,6,4,2010-07-23 07:52:01.894227
48,491c7d8c-9669-11df-9f0f-123139076201,1,2010-07-23 14:48:05.400471,2,False,False,1,0,1,0,0,0,209715200,0,0,6,4,2010-07-23 14:49:01.766721
49,ae20acec-9670-11df-bcaf-123139076201,20,2010-07-23 15:40:54.660613,2,False,False,1,0,1,0,0,0,4,0,0,35,36,2010-07-23 15:42:01.913532
50,b3896e84-985b-11df-8bee-123139076201,14,2010-07-26 02:15:46.629176,2,False,False,5,0,5,0,0,0,1600020480,0,0,28,29,2010-07-26 02:17:01.844391
51,4fe29da4-985d-11df-93bb-123139076201,14,2010-07-26 02:27:18.437447,2,False,False,5,0,5,0,0,0,1600020480,0,0,28,29,2010-07-26 02:29:02.257929
52,7fe6cc78-985d-11df-83f9-123139076201,14,2010-07-26 02:28:39.004196,2,False,False,5,0,5,0,0,0,1600020480,0,0,28,30,2010-07-26 02:30:02.315590
53,89ca3b7e-98eb-11df-8888-123139076201,23,2010-07-26 19:25:24.148611,3,False,False,1,0,0,0,0,1,0,135,0,66,66,2010-07-26 19:37:01.774017
54,84439844-98eb-11df-ab41-123139076201,23,2010-07-26 19:25:14.849527,3,False,False,1,0,0,0,0,1,0,136,0,66,66,2010-07-26 19:37:01.774018
55,40d25940-98ed-11df-bcba-123139076201,23,2010-07-26 19:37:40.690388,2,False,False,1,0,1,0,0,0,10000000,0,0,66,66,2010-07-26 19:38:02.342728
56,476cc66e-98ed-11df-ac16-123139076201,23,2010-07-26 19:37:51.781999,2,False,False,1,0,1,0,0,0,10000000,0,0,66,66,2010-07-26 19:38:02.342729
57,5072aa14-98eb-11df-b576-123139076201,23,2010-07-26 19:23:47.918389,3,False,False,1,0,0,0,0,1,0,155,0,66,66,2010-07-26 19:38:02.342730
58,3f6d5578-98ed-11df-b1a0-123139076201,23,2010-07-26 19:37:38.350581,2,False,False,1,0,1,0,0,0,10000000,0,0,66,66,2010-07-26 19:38:02.342731
59,360732e2-98ed-11df-9eca-123139076201,23,2010-07-26 19:37:22.586675,2,False,False,1,0,1,0,0,0,10000000,0,0,66,66,2010-07-26 19:38:02.342732
60,ce53fabe-98f0-11df-947a-123139076201,23,2010-07-26 20:03:06.608039,2,False,False,1,0,1,0,0,0,10000000,0,0,66,66,2010-07-26 20:04:01.538163
61,0ed57bee-98f6-11df-95db-123139076201,23,2010-07-26 20:40:42.296396,2,False,False,1,0,1,0,0,0,10000000,11016,0,66,66,2010-07-27 14:58:01.515729
62,066a557c-98f3-11df-a339-123139076201,23,2010-07-26 20:18:59.693882,2,False,False,1,0,1,0,0,0,10000000,11272,0,66,66,2010-07-27 14:58:01.515730
63,031d26d6-98ff-11df-97ec-123139076201,23,2010-07-26 21:44:48.119814,2,False,False,1,0,1,0,0,0,10000000,10255,0,66,66,2010-07-27 14:58:01.515731
64,2be785ee-98fe-11df-968b-123139076201,23,2010-07-26 21:38:47.044571,2,False,False,1,0,1,0,0,0,10000000,10333,0,66,66,2010-07-27 14:59:02.052904
65,127c42e0-98fc-11df-9f07-123139076201,23,2010-07-26 21:23:45.424962,2,False,False,1,0,1,0,0,0,10000000,10508,0,66,66,2010-07-27 14:59:02.052905
66,10b14a8e-98fa-11df-bce6-123139076201,23,2010-07-26 21:09:23.405633,2,False,False,1,0,1,0,0,0,10000000,10678,0,66,66,2010-07-27 14:59:02.052906
67,226be40e-9900-11df-b3eb-123139076201,23,2010-07-26 21:52:50.156027,2,False,False,1,0,1,0,0,0,10000000,10167,0,66,66,2010-07-27 14:59:02.052907
68,326ccca4-98fd-11df-921b-123139076201,23,2010-07-26 21:31:48.502122,2,False,False,1,0,1,0,0,0,10000000,10418,0,66,66,2010-07-27 15:00:02.322831
69,380e8510-98f5-11df-bc24-123139076201,23,2010-07-26 20:34:41.976342,2,False,False,1,0,1,0,0,0,10000000,11095,0,66,66,2010-07-27 15:00:02.322832
70,2f28e5d8-98f2-11df-a9ab-123139076201,23,2010-07-26 20:12:58.560075,2,False,False,1,0,1,0,0,0,10000000,11350,0,66,66,2010-07-27 15:00:02.322833
71,319da764-98f1-11df-aeee-123139076201,23,2010-07-26 20:05:53.170141,2,False,False,1,0,1,0,0,0,10000000,11434,0,66,66,2010-07-27 15:00:02.322834
72,4dd19164-98f3-11df-9cc9-123139076201,23,2010-07-26 20:20:59.490036,2,False,False,1,0,1,0,0,0,10000000,11262,0,66,66,2010-07-27 15:01:01.600086
73,4acb2b2c-98ff-11df-87a6-123139076201,23,2010-07-26 21:46:48.363846,2,False,False,1,0,1,0,0,0,10000000,10245,0,66,66,2010-07-27 15:01:01.600087
74,567d0dfe-98f6-11df-ae81-123139076201,23,2010-07-26 20:42:42.533148,2,False,False,1,0,1,0,0,0,10000000,11006,0,66,66,2010-07-27 15:01:01.600088
75,401ac56e-9901-11df-894f-123139076201,23,2010-07-26 22:00:49.431762,2,False,False,1,0,1,0,0,0,10000000,10080,0,66,66,2010-07-27 15:01:01.600089
76,419667ca-98f9-11df-970b-123139076201,23,2010-07-26 21:03:35.957991,2,False,False,1,0,1,0,0,0,10000000,10755,0,66,66,2010-07-27 15:01:01.600090
77,69b47984-98fb-11df-896d-123139076201,23,2010-07-26 21:19:02.237527,2,False,False,1,0,1,0,0,0,10000000,10580,0,66,66,2010-07-27 15:02:02.142834
78,5b6155ea-98fc-11df-b00e-123139076201,23,2010-07-26 21:25:47.701914,2,False,False,1,0,1,0,0,0,10000000,10496,0,66,66,2010-07-27 15:02:02.142835
79,64f91200-98f7-11df-8403-123139076201,23,2010-07-26 20:50:16.325407,2,False,False,1,0,1,0,0,0,10000000,10919,0,66,66,2010-07-27 15:02:02.142836
80,58d0d9a6-98fa-11df-a08d-123139076201,23,2010-07-26 21:11:24.429885,2,False,False,1,0,1,0,0,0,10000000,10667,0,66,66,2010-07-27 15:02:02.142837
81,747b6190-98fe-11df-929d-123139076201,23,2010-07-26 21:40:48.827917,2,False,False,1,0,1,0,0,0,10000000,10319,0,66,66,2010-07-27 15:02:02.142838
82,69301338-9900-11df-bc0e-123139076201,23,2010-07-26 21:54:48.861600,2,False,False,1,0,1,0,0,0,10000000,10158,0,66,66,2010-07-27 15:02:02.142839
83,76be456e-98f2-11df-8a8b-123139076201,23,2010-07-26 20:14:58.642111,2,False,False,1,0,1,0,0,0,10000000,11341,0,66,66,2010-07-27 15:03:01.686433
84,7eab69de-98f5-11df-8ffb-123139076201,23,2010-07-26 20:36:40.435038,2,False,False,1,0,1,0,0,0,10000000,11085,0,66,66,2010-07-27 15:03:01.686434
85,9d50034e-98f6-11df-90e1-123139076201,23,2010-07-26 20:44:41.345653,2,False,False,1,0,1,0,0,0,0,10992,0,66,66,2010-07-27 15:03:01.686435
86,95dd4528-98ff-11df-b1c9-123139076201,23,2010-07-26 21:48:54.317221,2,False,False,1,0,1,0,0,0,10000000,10232,0,66,66,2010-07-27 15:03:01.686436
87,87ba40c0-9901-11df-9fbe-123139076201,23,2010-07-26 22:02:49.586686,2,False,False,1,0,1,0,0,0,10000000,10070,0,66,66,2010-07-27 15:03:01.686437
88,b1db35ea-9900-11df-bb67-123139076201,23,2010-07-26 21:56:50.769113,2,False,False,1,0,1,0,0,0,10000000,10148,0,66,66,2010-07-27 15:04:02.206730
89,071b3278-9990-11df-878d-123139076201,23,2010-07-27 15:02:51.837249,2,False,False,1,0,1,0,0,0,10000000,0,0,66,66,2010-07-27 15:04:02.206731
90,a26dc040-98fc-11df-9caa-123139076201,23,2010-07-26 21:27:46.898002,2,False,False,1,0,1,0,0,0,10000000,10481,0,66,66,2010-07-27 15:04:02.206732
91,a8f0f9e4-98f4-11df-a03a-123139076201,23,2010-07-26 20:30:41.852561,2,False,False,1,0,1,0,0,0,10000000,11164,0,66,66,2010-07-27 15:04:02.206733
92,ad240e66-98f9-11df-8678-123139076201,23,2010-07-26 21:06:36.390090,2,False,False,1,0,1,0,0,0,10000000,10735,0,66,66,2010-07-27 15:04:02.206734
93,a3164d30-998f-11df-b91d-123139076201,23,2010-07-27 15:00:04.027472,2,False,False,1,0,1,0,0,0,10000000,18,0,66,66,2010-07-27 15:04:02.206735
94,bba3e54c-98fe-11df-9ce4-123139076201,23,2010-07-26 21:42:48.202012,2,False,False,1,0,1,0,0,0,10000000,10314,0,66,66,2010-07-27 15:05:01.769077
95,cc1da118-98fb-11df-8da6-123139076201,23,2010-07-26 21:21:47.342566,2,False,False,1,0,1,0,0,0,0,10566,0,66,66,2010-07-27 15:05:01.769078
96,cdec7e7e-98f1-11df-8ff4-123139076201,23,2010-07-26 20:10:15.410592,2,False,False,1,0,1,0,0,0,10000000,11414,0,66,66,2010-07-27 15:05:01.769079
97,be7c9996-98f2-11df-8931-123139076201,23,2010-07-26 20:16:59.005450,2,False,False,1,0,1,0,0,0,10000000,11331,0,66,66,2010-07-27 15:05:01.769080
98,b6c591b6-98f3-11df-ab9b-123139076201,23,2010-07-26 20:23:55.558559,2,False,False,1,0,1,0,0,0,10000000,11247,0,66,66,2010-07-27 15:05:01.769081
99,c6586804-98f5-11df-92ea-123139076201,23,2010-07-26 20:38:40.695446,2,False,False,1,0,1,0,0,0,10000000,11075,0,66,66,2010-07-27 15:05:01.769082
100,da849762-98ff-11df-a397-123139076201,23,2010-07-26 21:50:49.500661,2,False,False,1,0,1,0,0,0,10000000,10226,0,66,66,2010-07-27 15:06:02.252882
101,ea2cb274-98fc-11df-8539-123139076201,23,2010-07-26 21:29:47.274203,2,False,False,1,0,1,0,0,0,10000000,10476,0,66,66,2010-07-27 15:06:02.252883
102,f1aa52ca-98f4-11df-8df0-123139076201,23,2010-07-26 20:32:43.862243,2,False,False,1,0,1,0,0,0,10000000,11153,0,66,66,2010-07-27 15:06:02.252884
103,e513a60e-98f6-11df-9798-123139076201,23,2010-07-26 20:46:41.745796,2,False,False,1,0,1,0,0,0,10000000,10985,0,66,66,2010-07-27 15:06:02.252885
104,f86bd3f2-9900-11df-83e3-123139076201,23,2010-07-26 21:58:49.157962,2,False,False,1,0,1,0,0,0,10000000,10136,0,66,66,2010-07-27 15:06:02.252886
105,cf529f54-9901-11df-aa9e-123139076201,23,2010-07-26 22:04:49.722089,2,False,False,1,0,1,0,0,0,10000000,10062,0,66,66,2010-07-27 15:06:02.252887
106,dedb5728-99af-11df-8eab-123139076201,16,2010-07-27 18:50:48.224507,3,False,False,4,0,0,0,0,4,0,1144,0,50,37,2010-07-27 19:46:02.045038
107,920cae7a-9990-11df-8925-123139076201,23,2010-07-27 15:06:44.953075,3,False,False,1,0,0,0,1,0,0,2078,0,67,66,2010-07-28 15:07:02.344589
108,f320aba8-9990-11df-9259-123139076201,23,2010-07-27 15:09:27.813299,3,False,False,1,0,0,0,1,0,0,2013,0,67,66,2010-07-28 15:10:01.974722
109,3cee07f8-9991-11df-99b0-123139076201,23,2010-07-27 15:11:31.637947,3,False,False,1,0,0,0,1,0,0,2031,0,67,66,2010-07-28 15:12:02.055141
110,b42c6e92-99a8-11df-98ec-123139076201,23,2010-07-27 17:59:30.120711,3,False,False,1,0,0,0,1,0,0,1914,0,66,67,2010-07-28 18:00:02.414122
111,18609186-99a9-11df-983e-123139076201,23,2010-07-27 18:02:18.225754,3,False,False,1,0,0,0,1,0,0,16466,0,66,67,2010-07-28 18:03:01.545864
112,5f8338fc-99a9-11df-94f9-123139076201,23,2010-07-27 18:04:17.567600,3,False,False,1,0,0,0,1,0,0,1969,0,66,67,2010-07-28 18:05:01.628502
113,aa71cebe-99a9-11df-95bf-123139076201,23,2010-07-27 18:06:23.302891,3,False,False,1,0,0,0,1,0,0,1993,0,66,67,2010-07-28 18:07:01.687835
114,eecf9776-99a9-11df-9fec-123139076201,23,2010-07-27 18:08:17.984430,3,False,False,1,0,0,0,1,0,0,2015,0,66,67,2010-07-28 18:09:01.767755
115,36299fcc-99aa-11df-8ffe-123139076201,23,2010-07-27 18:10:17.691140,3,False,False,1,0,0,0,1,0,0,16462,0,66,67,2010-07-28 18:11:01.835427
116,7efb6c8a-99aa-11df-ad3c-123139076201,23,2010-07-27 18:12:19.862103,3,False,False,1,0,0,0,1,0,0,2061,0,66,67,2010-07-28 18:13:01.951256
117,c84d0d3a-99aa-11df-997a-123139076201,23,2010-07-27 18:14:22.879568,3,False,False,1,0,0,0,1,0,0,2084,0,66,67,2010-07-28 18:15:01.976932
118,0d64b09e-99ab-11df-8b48-123139076201,23,2010-07-27 18:16:18.789528,3,False,False,1,0,0,0,1,0,0,16460,0,66,67,2010-07-28 18:17:01.990748
119,5658ceac-99ab-11df-8ebe-123139076201,23,2010-07-27 18:18:21.184912,3,False,False,1,0,0,0,1,0,0,2129,0,66,67,2010-07-28 18:19:02.035952
120,9fbc3944-99ab-11df-97f9-123139076201,23,2010-07-27 18:20:24.322750,3,False,False,1,0,0,0,1,0,0,2153,0,66,67,2010-07-28 18:21:02.131801
121,e510f8d6-99ab-11df-bf1d-123139076201,23,2010-07-27 18:22:20.636175,3,False,False,1,0,0,0,1,0,0,2175,0,66,67,2010-07-28 18:23:02.183497
122,2d390856-99ac-11df-bd72-123139076201,23,2010-07-27 18:24:21.688986,3,False,False,1,0,0,0,1,0,0,16457,0,66,67,2010-07-28 18:25:02.241969
